Disease_Name_English,Disease_Name_Spanish,Diagnosis,Treatments,Tests,Medications_Drugs
Scleroderma,Scleroderma,"Physical exam; Blood tests to check for elevated levels of certain antibodies; Other blood tests; Imaging; Organ function tests to assess digestive system, heart, lungs, and kidneys.","Medicines to dilate blood vessels; Medicines to suppress the immune system; Medicines to reduce digestive symptoms; Preventative vaccinations; Pain relievers; Physical or occupational therapy; Hand therapy; Stem cell transplant; Organ transplant (lung, kidney)",Blood tests; Imaging; Organ function tests,Blood pressure medicines (to dilate blood vessels); Immune suppressants; Pills to reduce stomach acid; Antibiotics; Medicines to help move food through intestines; Pain relievers; Antacids
Sclerosing mesenteritis,Sclerosing mesenteritis,"Diagnosis involves a physical exam to check for an abdominal mass; imaging tests like CT or MRI scans to visualize the mesentery; and a biopsy to confirm the diagnosis and rule out other conditions, such as cancer.  A biopsy may be obtained surgically or via needle aspiration.",Observation with periodic imaging; Medications; Surgery (if intestinal blockage occurs),Physical exam; CT scan; MRI; Biopsy,Prednisone; Tamoxifen; Aspirin; Progesterone; Azathioprine; Colchicine; Cyclophosphamide; Thalidomide
Scoliosis,Scoliosis,"Physical exam to observe spinal curvature (bending forward test); Neurological exam to check for muscle weakness, numbness, and reflexes; X-rays to confirm diagnosis and measure curve.","Bracing (for moderate curves in growing children); Surgery (spinal fusion, vertebral body tethering, expanding/growing rods, for large curves or rapidly progressing curves); Physical therapy (to strengthen back, ease pain, improve posture)",X-rays; MRI (if underlying condition suspected); Hand X-ray (to assess growth plate status),Information not found
Scorpion sting,Scorpion sting,"Diagnosis is usually based on the patient's history and symptoms.  For serious symptoms, blood or imaging tests may be used to assess the venom's effects on organs.",Most stings don't require treatment; Hospital care for serious symptoms; Intravenous pain medication; Scorpion antivenom (for children and adults with serious symptoms),Blood tests; Imaging tests,Scorpion antivenom; Intravenous pain medication; Ibuprofen
Scrotal masses,Scrotal masses,"Physical exam of the scrotum and groin; Transillumination to assess size, location, and makeup of the mass; Ultrasound to determine size, location, makeup, and condition of testicles (often needed); Urine test to detect infection or blood/pus; Blood test to detect infection or elevated proteins linked to testicular cancer; CT scan if testicular cancer is suspected to check for spread.","Antibiotics for bacterial infections (e.g., epididymitis); Rest, ice, and pain relief for viral epididymitis or orchitis; Surgery, repair, or drainage for benign masses (depending on discomfort, infertility risk, or infection); Radical inguinal orchiectomy (surgical removal of affected testicle and spermatic cord, possibly lymph nodes) for testicular cancer; Chemotherapy for testicular cancer that has spread; Radiation therapy for testicular cancer that has spread to lymph nodes.",Physical exam; Transillumination; Ultrasound; Urine test; Blood test; Computerized tomography (CT) scan,Antibiotics
Seasonal affective disorder (SAD),Seasonal affective disorder (SAD),"Diagnosis can be challenging due to overlapping symptoms with other depression types.  A thorough evaluation includes a physical exam to rule out underlying physical health issues; lab tests such as a complete blood count (CBC) and thyroid function tests; and a psychological evaluation assessing symptoms, thoughts, feelings, and behavior patterns, often involving questionnaires.",Light therapy (phototherapy); Psychotherapy (cognitive behavioral therapy); Medications,Complete blood count (CBC); Thyroid function tests,"Bupropion (Wellbutrin XL, Aplenzin); Other antidepressants (unspecified)"
Sebaceous carcinoma,Sebaceous carcinoma,"Sebaceous carcinoma is diagnosed through a skin exam, potentially including an eye exam if the carcinoma is on the eyelid; a skin biopsy is performed to confirm the presence of cancer cells through specialized lab tests.",Surgery; Mohs surgery; Radiation therapy; Clinical trials,Skin exam; Eye exam; Skin biopsy,Information not found
Seborrheic dermatitis,Seborrheic dermatitis,Clinical evaluation of symptoms and visual examination of the skin; skin biopsy may be performed to rule out other conditions.,"Medicated shampoos; creams and lotions; antifungal gels, creams, lotions, foams, or shampoos; corticosteroid creams, lotions, shampoos, or ointments; creams or ointments with a calcineurin inhibitor (tacrolimus or pimecrolimus); oral antifungal medication; lifestyle changes and home remedies; nonprescription anti-dandruff shampoos; application of mineral oil, peanut oil, or olive oil to soften scales; regular washing with warm water and gentle cleanser; application of medicated cream (mild corticosteroid or ketoconazole); avoiding styling products and alcohol-containing products; regular shampooing of facial hair or shaving; gentle eyelid cleansing; regular washing of infant's scalp with mild baby shampoo and optional use of mineral or olive oil.",Skin biopsy,"Ketoconazole; ciclopirox (Loprox); hydrocortisone; fluocinolone (Capex, Synalar); clobetasol (Clobex, Temovate); desonide (Desowen, Desonate); tacrolimus (Protopic); pimecrolimus (Elidel); oral antifungal medication (specific name not provided)."
Seborrheic keratosis,Seborrheic keratosis,"Visual examination by a doctor is usually sufficient; If there's uncertainty, a skin biopsy may be recommended for microscopic examination.","Removal is an option if the keratosis is irritated, bleeds, or is aesthetically unappealing; Cryotherapy (freezing with liquid nitrogen); Curettage (scraping) or shaving; Electrocautery (burning with electric current).",Skin biopsy,Information not found
Secondary hypertension,Secondary hypertension,"Diagnosis involves multiple blood pressure readings (3-6) at separate appointments, potentially including home and ambulatory monitoring.  Further testing aims to identify the underlying cause of hypertension.",Treating the underlying medical condition with medications or surgery; Continuing blood pressure medication may be necessary.,Blood tests; Urine test (urinalysis); Ultrasound of the kidneys; Electrocardiogram (ECG or EKG),Thiazide diuretics; Beta blockers; Angiotensin-converting enzyme (ACE) inhibitors; Angiotensin II receptor blockers; Calcium channel blockers; Direct renin inhibitors
Seizures,Seizures,"Diagnosis involves reviewing symptoms, medical history, and conducting a physical exam.  Further investigation may include neurological exam to assess behavior and motor abilities; blood tests to check blood sugar, infections, gene conditions, and electrolyte levels; spinal tap to check for infection; EEG to record brain electrical activity and identify seizure patterns; MRI and CT scans to visualize brain structure and detect abnormalities like tumors or bleeding; PET and SPECT scans to show brain activity and blood flow during seizures; and subtraction ictal SPECT coregistered with MRI (SISCOM) for more detailed results.",Antiseizure medications; Implanted vagus nerve stimulation; Deep brain stimulation,Neurological exam; Blood tests; Spinal tap (lumbar puncture); Electroencephalogram (EEG); MRI; CT scan; Positron emission tomography (PET); Single-photon emission computerized tomography (SPECT); Subtraction ictal SPECT coregistered with MRI (SISCOM),Information not found
Selective IgA deficiency,Selective IgA deficiency,"Diagnosis is based on a blood test measuring immunoglobulin levels, specifically IgA levels, which can show complete or partial deficiency.  The test may be ordered due to frequent illnesses or as part of a broader diagnostic workup.",Antibiotic treatment (as needed for bacterial infections); Antibiotic prophylaxis (for long-term illnesses like chronic bronchitis),Immunoglobulin blood test,Antibiotics
Self-injury/cutting,Self-injury/cutting,"Diagnosis is based on a physical and psychological evaluation; a mental health professional assesses life, thoughts, feelings, and behaviors; evaluation for linked mental health conditions such as depression or personality disorders.  There is no specific test.","Psychotherapy (CBT, Dialectical behavior therapy, Mindfulness-based therapies); Family therapy; Group therapy; Inpatient psychiatric care; Mental health day-treatment programs;  Medication for co-occurring mental health conditions (e.g., depression, anxiety).",Information not found,Antidepressants; Other medications to treat linked mental health conditions (specific medications not listed).
Separation anxiety disorder,Separation anxiety disorder,"Diagnosis involves differentiating typical developmental stages from diagnosable separation anxiety disorder; a pediatrician may refer to a mental health professional specializing in childhood anxiety; a structured interview (psychological evaluation) assessing thoughts, feelings, and behaviors is conducted with the child and parent(s), often separately and together.",Psychotherapy (including Cognitive Behavioral Therapy (CBT) and exposure therapy); medication (in combination with CBT if needed).,Information not found,Selective serotonin reuptake inhibitors (SSRIs)
Sepsis,Sepsis,"Doctors order several tests to pinpoint the underlying infection.  Tests include blood tests (checking for infection, blood clotting problems, abnormal liver or kidney function, low oxygen levels, and electrolyte imbalances); and other lab tests on urine, wound fluid, and respiratory tract samples to identify the infection source.  Imaging tests like X-ray, ultrasound, CT scan, and MRI may be used if the infection site isn't readily apparent.","Close monitoring and treatment in a hospital intensive care unit; Medications; Intravenous fluids; Vasopressors; Supportive care (oxygen, breathing machines, dialysis); Surgery (to remove infection sources)",Blood tests; Urinalysis; Wound fluid analysis; Respiratory tract sample analysis; X-ray; Ultrasound; Computerized tomography (CT); Magnetic resonance imaging (MRI),"Antibiotics (broad-spectrum initially, then targeted based on blood test results); Intravenous fluids; Vasopressors; Insulin (for blood sugar control); Painkillers"
